Created account: 4000-1 for Revenue, Revenue, Tithes, company 1
Created account: 4000-2 for Revenue, Revenue, Offering, company 1
Created account: 4000-3 for Revenue, Revenue, Other Payable, company 1
Created account: 4000-4 for Revenue, Revenue, Cash, company 1
Created account: 4000-5 for Revenue, Revenue, Advances from Officers, company 1
Created account: 4000-6 for Revenue, Revenue, Accumulated Depreciation, company 1
Created account: 4000-7 for Revenue, Revenue, Depreciation Expense, company 1
Created account: 4000-8 for Revenue, Revenue, Furniture and Equipment, company 1
Created account: 4000-9 for Revenue, Revenue, Accounts Receivable, company 1
Created account: 5000-1 for Expense, Expense, Pastor\'s Fund Expense, company 1
Created account: 5000-2 for Expense, Expense, Rent Expense, company 1
Created account: 5000-3 for Expense, Expense, Repair & Maintenance, company 1
Created account: 5000-4 for Expense, Expense, Church Mission, company 1
Created account: 5000-5 for Expense, Expense, General Expense, company 1
Created account: 5000-6 for Expense, Expense, Youth Ministry Expense, company 1
Created account: 5000-7 for Expense, Expense, Worship Team Activity Expense, company 1
